INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.MycatServer.<init>(MycatServer.java:166)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:109)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	... 7 more
STATUS | wrapper  | 2020/11/19 12:15:42 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:15:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:15:55 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:15:55 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:15:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:15:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:15:55 | 
INFO   | jvm 1    | 2020/11/19 12:15:56 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:17:03 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:17:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:17:05 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:17:05 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:17:05 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:17:05 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:17:05 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:17:05 | 
INFO   | jvm 1    | 2020/11/19 12:17:06 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:47:43 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:47:44 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:47:45 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:47:45 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:47:45 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
